,index,gridSearch,accu_std,accu_mod,acc_test,acc_train,overfitting %,recall,overfitting_balanced,f1,precission,balanced_accucracy,ROC,balance_method
25,5,RandomForest,0.9186746987951808,0.9354785478547856,0.9146586345381528,1.0,9.330406147091102,0.0980392156862745,89.25605230606114,0.1052631578947368,0.1136363636363636,0.5283846872082166,0.5283846872082166,smote
26,6,AdaBoost,0.8403614457831325,0.8458745874587459,0.8654618473895582,0.8534653465346534,1.3861386138613876,0.4509803921568627,27.496008853256537,0.2555555555555555,0.1782945736434108,0.6694055399937753,0.6694055399937753,smote
27,7,XGB,0.931726907630522,0.9422442244224422,0.9327309236947792,0.9965346534653464,6.840529047522614,0.0784313725490196,88.51138307825482,0.1066666666666666,0.1666666666666666,0.5286336756924992,0.5286336756924992,smote
28,8,CatBoost,0.9307228915662652,0.872112211221122,0.8765060240963856,0.905940594059406,3.3581708686332563,0.3333333333333333,46.219276069366124,0.2165605095541401,0.160377358490566,0.6195767195767196,0.6195767195767196,smote
29,9,LGBM,0.9246987951807228,0.625082508250825,0.9487951807228916,0.6250825082508251,34.11828801927811,0.0,25.016501650165026,0.0,0.0,0.5,0.5,smote
30,0,SVC,0.9487951807228916,0.7360544217687074,0.9487951807228916,0.7333333333333333,22.70899470899472,0.0,46.66666666666666,0.0,0.0,0.5,0.5,condensed_nearest
31,1,LogisticRegression,0.9477911646586346,0.7374149659863946,0.9397590361445785,0.7346938775510204,21.82103610675039,0.0784313725490196,38.01282907924629,0.1176470588235294,0.2352941176470588,0.532337379396203,0.532337379396203,condensed_nearest
32,2,DecissionTree,0.8393574297188755,0.7346938775510204,0.9487951807228916,0.7346938775510204,22.56559766763848,0.0,46.93877551020409,0.0,0.0,0.5,0.5,condensed_nearest
33,3,KNN,0.933734939759036,0.7346938775510204,0.9497991967871486,0.7428571428571429,21.78797946239807,0.0392156862745098,43.110684734380634,0.074074074074074,0.6666666666666666,0.5190787426081543,0.5190787426081543,condensed_nearest
34,4,GradientBoosting,0.9246987951807228,0.7360544217687074,0.9487951807228916,0.7346938775510204,22.56559766763848,0.0,46.93877551020409,0.0,0.0,0.5,0.5,condensed_nearest
35,5,RandomForest,0.931726907630522,0.7034013605442176,0.9327309236947792,1.0,7.2120559741657635,0.0392156862745098,96.04612850082374,0.056338028169014,0.1,0.5100840336134453,0.5100840336134453,condensed_nearest
